[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_B/rigged_boss_malakor.glb
01:39:06 | INFO: Data are loaded, start creating Blender stuff
01:39:06 | INFO: Blender create Mesh node geometry_0
01:39:08 | INFO: glTF import finished in 1.46s
[turntable] normalized: raw height 1.95 m -> 1.75 m (scale 0.897)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.56 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:00:06.22 | Remaining:02:32.77 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:00:25.41 | Remaining:01:54.30 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 5/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:01:03.43 | Remaining:01:12.54 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 13/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:01:41.64 | Remaining:00:33.69 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 21/28
Fra:1 Mem:137.19M (Peak 185.19M) | Time:03:00.94 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:137.19M (Peak 185.19M) | Time:03:00.95 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_boss_malakor_front.png'
Time: 03:02.23 (Saving: 00:01.28)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_boss_malakor_front.png
Fra:1 Mem:21.83M (Peak 22.33M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | geometry_0
Fra:1 Mem:29.66M (Peak 29.66M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:24.37M (Peak 32.89M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:22.87M (Peak 32.89M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.19 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.19 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.19 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.19 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.19 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:26.75M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.20 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.20 | Mem:4.83M, Peak:4.83M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.20 | Mem:4.83M, Peak:4.83M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.20 | Mem:5.27M, Peak:5.27M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.21 | Mem:5.80M, Peak:6.24M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.21 | Mem:5.80M, Peak:6.24M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.21 | Mem:5.80M, Peak:6.24M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.21 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.22 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.22 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Images
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.22 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.22 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.22 | Mem:7.47M, Peak:7.47M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.22 | Mem:7.47M, Peak:7.47M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Film
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.39M, Peak:7.48M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.22 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:00:05.01 | Remaining:02:09.48 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:00:35.57 | Remaining:01:14.63 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 9/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:01:04.16 | Remaining:00:41.37 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 17/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:01:34.49 | Remaining:00:11.31 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:137.19M (Peak 185.19M) | Time:02:29.30 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:137.19M (Peak 185.19M) | Time:02:29.30 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_boss_malakor_threequarter.png'
Time: 02:30.49 (Saving: 00:01.18)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_boss_malakor_threequarter.png
Fra:1 Mem:21.83M (Peak 21.83M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | geometry_0
Fra:1 Mem:22.51M (Peak 22.51M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:24.37M (Peak 32.89M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:22.87M (Peak 32.89M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:26.75M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.26 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.26 | Mem:4.83M, Peak:4.83M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.26 | Mem:4.83M, Peak:4.83M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.26 | Mem:5.27M, Peak:5.27M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.28 | Mem:5.80M, Peak:6.24M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:27.58M (Peak 34.88M) | Time:00:00.28 | Mem:5.80M, Peak:6.24M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:5.80M, Peak:6.24M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Images
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.39M, Peak:7.39M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.47M, Peak:7.47M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:29.17M (Peak 34.88M) | Time:00:00.28 | Mem:7.47M, Peak:7.47M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Film
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.39M, Peak:7.48M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:29.18M (Peak 34.88M) | Time:00:00.28 | Mem:7.48M, Peak:7.48M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:00:04.99 | Remaining:02:07.06 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:00:41.49 | Remaining:01:26.99 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 9/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:01:17.70 | Remaining:00:50.09 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 17/28
Fra:1 Mem:105.19M (Peak 105.19M) | Time:01:52.30 | Remaining:00:13.44 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:137.19M (Peak 185.19M) | Time:02:48.26 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:137.19M (Peak 185.19M) | Time:02:48.27 | Mem:83.49M, Peak:83.49M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_boss_malakor_side.png'
Time: 02:48.87 (Saving: 00:00.58)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_boss_malakor_side.png
Fra:1 Mem:21.83M (Peak 21.83M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | geometry_0
Fra:1 Mem:21.87M (Peak 21.87M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:24.37M (Peak 32.89M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:22.87M (Peak 32.89M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:26.45M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:26.53M (Peak 34.88M) | Time:00:00.33 | Mem:4.00M, Peak:4.00M | Scene, ViewLayer | Updating Camera
