[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_B/rigged_blight_necrolyte.glb
01:27:52 | INFO: Data are loaded, start creating Blender stuff
01:27:52 | INFO: Blender create Mesh node textured_mesh.obj
01:27:53 | INFO: glTF import finished in 1.27s
[turntable] normalized: raw height 1.40 m -> 1.75 m (scale 1.250)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Updating Film
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.53M, Peak:35.61M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:61.01M (Peak 90.63M) | Time:00:01.13 | Mem:35.61M, Peak:35.61M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:00:07.57 | Remaining:02:54.03 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:00:27.72 | Remaining:02:02.34 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 5/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:00:48.27 | Remaining:01:39.53 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 9/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:01:08.17 | Remaining:01:17.36 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 13/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:01:29.37 | Remaining:00:57.09 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 17/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:01:51.22 | Remaining:00:36.69 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 21/28
Fra:1 Mem:137.02M (Peak 137.02M) | Time:02:11.21 | Remaining:00:15.61 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:169.03M (Peak 217.03M) | Time:03:06.37 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:169.03M (Peak 217.03M) | Time:03:06.37 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_blight_necrolyte_threequarter.png'
Time: 03:07.38 (Saving: 00:01.00)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_blight_necrolyte_threequarter.png
Fra:1 Mem:25.52M (Peak 25.52M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:26.24M (Peak 26.24M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:28.17M (Peak 37.73M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:26.61M (Peak 37.73M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:42.61M (Peak 42.61M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.64 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
