[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_B/rigged_archer.glb
01:15:22 | INFO: Data are loaded, start creating Blender stuff
01:15:22 | INFO: Blender create Mesh node textured_mesh.obj
01:15:23 | INFO: glTF import finished in 1.65s
[turntable] normalized: raw height 1.75 m -> 1.75 m (scale 1.000)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:00.89 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:00.89 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:07.85 | Remaining:03:07.90 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:28.35 | Remaining:02:06.34 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 5/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:47.67 | Remaining:01:38.75 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 9/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:01:07.88 | Remaining:01:17.29 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 13/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:01:29.19 | Remaining:00:57.13 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 17/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:01:49.85 | Remaining:00:36.32 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 21/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:02:11.81 | Remaining:00:15.71 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:171.94M (Peak 219.94M) | Time:03:19.45 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:171.94M (Peak 219.94M) | Time:03:19.46 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_archer_front.png'
Time: 03:21.26 (Saving: 00:01.79)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_archer_front.png
Fra:1 Mem:27.38M (Peak 27.38M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:27.38M (Peak 27.38M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:30.75M (Peak 42.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:28.77M (Peak 42.23M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:44.77M (Peak 44.77M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:60.33M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.08 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:60.71M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.09 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.09 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.09 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.09 | Mem:33.68M, Peak:33.68M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.11 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.11 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Images
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.57M, Peak:36.57M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.57M, Peak:36.57M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.12 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Film
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.12 | Mem:36.49M, Peak:36.58M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.12 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.12 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.12 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.12 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:05.91 | Remaining:02:09.44 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:49.16 | Remaining:01:41.42 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 9/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:01:36.04 | Remaining:01:01.41 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 17/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:02:13.78 | Remaining:00:15.91 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:171.94M (Peak 219.94M) | Time:03:10.55 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:171.94M (Peak 219.94M) | Time:03:10.55 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_archer_threequarter.png'
Time: 03:11.55 (Saving: 00:00.96)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_archer_threequarter.png
Fra:1 Mem:27.38M (Peak 27.38M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:27.38M (Peak 27.38M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:30.75M (Peak 42.22M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:28.77M (Peak 42.22M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:44.77M (Peak 44.77M) | Time:00:00.19 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:60.33M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.97 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.98 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.98 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:60.71M (Peak 92.79M) | Time:00:00.98 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.98 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.98 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.98 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.98 | Mem:33.68M, Peak:33.68M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.03 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:01.03 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.03 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.03 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.03 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.03 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Images
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.03 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.03 | Mem:36.49M, Peak:36.49M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.04 | Mem:36.57M, Peak:36.57M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.04 | Mem:36.57M, Peak:36.57M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.04 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:01.04 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Film
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.04 | Mem:36.49M, Peak:36.58M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.04 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.04 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.04 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:63.93M (Peak 92.79M) | Time:00:01.04 | Mem:36.58M, Peak:36.58M | Scene, ViewLayer | Sample 0/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:06.13 | Remaining:02:17.57 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 1/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:00:41.89 | Remaining:01:26.23 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 9/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:01:20.19 | Remaining:00:51.21 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 17/28
Fra:1 Mem:139.94M (Peak 139.94M) | Time:01:57.86 | Remaining:00:14.01 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:171.94M (Peak 219.94M) | Time:02:59.49 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:171.94M (Peak 219.94M) | Time:02:59.49 | Mem:112.59M, Peak:112.59M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_archer_side.png'
Time: 03:00.35 (Saving: 00:00.83)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_archer_side.png
Fra:1 Mem:27.38M (Peak 27.38M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:27.45M (Peak 27.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:30.75M (Peak 42.23M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:28.77M (Peak 42.23M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:44.77M (Peak 44.77M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:60.33M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.61 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.62 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.62 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:60.71M (Peak 92.79M) | Time:00:00.62 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.62 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.62 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.62 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.62 | Mem:33.68M, Peak:33.68M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.64 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.66 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:63.92M (Peak 92.79M) | Time:00:00.66 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
