[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/batch2_01_generated_from_glb__4_.glb
01:12:28 | INFO: Data are loaded, start creating Blender stuff
01:12:28 | INFO: Blender create Mesh node textured_mesh.obj
01:12:28 | INFO: glTF import finished in 0.27s
[turntable] normalized: raw height 1.31 m -> 1.75 m (scale 1.337)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:01.25 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:01.25 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:01.25 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Sample 0/12
Fra:1 Mem:95.66M (Peak 95.66M) | Time:00:06.62 | Remaining:00:58.99 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 1/12
Fra:1 Mem:95.66M (Peak 95.66M) | Time:00:24.73 | Remaining:00:32.86 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 5/12
Fra:1 Mem:113.66M (Peak 140.67M) | Time:01:19.31 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 12/12
Fra:1 Mem:113.66M (Peak 140.67M) | Time:01:19.31 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/id_01_front.png'
Time: 01:20.29 (Saving: 00:00.97)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/id_01_front.png
Fra:1 Mem:18.03M (Peak 18.03M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:19.64M (Peak 19.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:19.43M (Peak 19.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:19.42M (Peak 19.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:35.42M (Peak 35.42M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:51.09M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:51.48M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
